codelist,code,code_es
method,open,abierto
method,selective,selectivo
method,limited,limitado
method,direct,directo
tenderStatus,pending,pendiente
tenderStatus,active,activo
tenderStatus,cancelled,cancelado
tenderStatus,unsuccessful,sin éxito
bidStatus,pending,pendiente
bidStatus,valid,calificada
bidStatus,disqualified,descalificada
partyRole,tenderer,oferente
partyRole,supplier,proveedor
